Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Acercar,Indicative,Past Perfect,había acercado,habías acercado,había acercado,habíamos acercado,habían acercado
Acercar,Indicative,Future Perfect,habré acercado,habrás acercado,habrá acercado,habremos acercado,habrán acercado
Acercar,Indicative,Conditional Perfect,habría acercado,habrías acercado,habría acercado,habríamos acercado,habrían acercado
Acercar,Subjunctive,Present,acerque,acerques,acerque,acerquemos,acerquen
Acercar,Subjunctive,Imperfect,acercara,acercaras,acercara,acercáramos,acercaran
Acercar,Subjunctive,Future,acercare,acercares,acercare,acercáremos,acercaren
Acercar,Subjunctive,Present Perfect,haya acercado,hayas acercado,haya acercado,hayamos acercado,hayan acercado
Acercar,Subjunctive,Past Perfect,hubiera acercado,hubieras acercado,hubiera acercado,hubiéramos acercado,hubieran acercado
Acercar,Subjunctive,Future Perfect,hubiere acercado,hubieres acercado,hubiere acercado,hubiéremos acercado,hubieren acercado
Acercar,Imperative,Affirmative,-,acerca,acerque,acerquemos,acerquen
Acercar,Imperative,Negative,-,no acerques,no acerque,no acerquemos,no acerquen
Acercarse,Indicative,Present,acerco,acercas,acerca,acercamos,acercan
Acercarse,Indicative,Preterite,acerqué,acercaste,acercó,acercamos,acercaron
Acercarse,Indicative,Imperfect,acercaba,acercabas,acercaba,acercábamos,acercaban
Acercarse,Indicative,Present Continuous,estoy acercando,estás acercando,está acercando,estamos acercando,están acercando
Acercarse,Indicative,Informal Future,voy a acercar,vas a acercar,va a acercar,vamos a acercar,van a acercar
Acercarse,Indicative,Future,acercaré,acercarás,acercará,acercaremos,acercarán
Acercarse,Indicative,Conditional,acercaría,acercarías,acercaría,acercaríamos,acercarían
Acercarse,Indicative,Present Perfect,he acercado,has acercado,ha acercado,hemos acercado,han acercado
Acercarse,Indicative,Past Perfect,había acercado,habías acercado,había acercado,habíamos acercado,habían acercado
Acercarse,Indicative,Future Perfect,habré acercado,habrás acercado,habrá acercado,habremos acercado,habrán acercado
Acercarse,Indicative,Conditional Perfect,habría acercado,habrías acercado,habría acercado,habríamos acercado,habrían acercado
Acercarse,Subjunctive,Present,acerque,acerques,acerque,acerquemos,acerquen
Acercarse,Subjunctive,Imperfect,acercara,acercaras,acercara,acercáramos,acercaran
Acercarse,Subjunctive,Future,acercare,acercares,acercare,acercáremos,acercaren
Acercarse,Subjunctive,Present Perfect,haya acercado,hayas acercado,haya acercado,hayamos acercado,hayan acercado
Acercarse,Subjunctive,Past Perfect,hubiera acercado,hubieras acercado,hubiera acercado,hubiéramos acercado,hubieran acercado
Acercarse,Subjunctive,Future Perfect,hubiere acercado,hubieres acercado,hubiere acercado,hubiéremos acercado,hubieren acercado
Acercarse,Imperative,Affirmative,-,acérrcate,acérrquese,acerquémonos,acérquense
Acercarse,Imperative,Negative,-,no te acerques,no se acerque,no nos acerquemos,no se acerquen
Acompañar,Indicative,Present,acompaño,acompañas,acompaña,acompañamos,acompañan
Acompañar,Indicative,Preterite,acompañé,acompañaste,acompañó,acompañamos,acompañaron
Acompañar,Indicative,Imperfect,acompañaba,acompañabas,acompañaba,acompañábamos,acompañaban
Acompañar,Indicative,Present Continuous,estoy acompañando,estás acompañando,está acompañando,estamos acompañando,están acompañando
Acompañar,Indicative,Informal Future,voy a acompañar,vas a acompañar,va a acompañar,vamos a acompañar,van a acompañar
Acompañar,Indicative,Future,acompañaré,acompañarás,acompañará,acompañaremos,acompañarán
Acompañar,Indicative,Conditional,acompañaría,acompañarías,acompañaría,acompañaríamos,acompañarían
Acompañar,Indicative,Present Perfect,he acompañado,has acompañado,ha acompañado,hemos acompañado,han acompañado
